LotArea,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,SalePrice
8450,2Story,7,5,2003,2003,0,1710,1,0,2,1,3,1,208500
9600,1Story,6,8,1976,1976,0,1262,0,1,2,0,3,1,181500
11250,2Story,7,5,2001,2002,0,1786,1,0,2,1,3,1,223500
9550,2Story,7,5,1915,1970,0,1717,1,0,1,0,3,1,140000
14260,2Story,8,5,2000,2000,0,2198,1,0,2,1,4,1,250000
14115,1.5Fin,5,5,1993,1995,0,1362,1,0,1,1,1,1,143000
10084,1Story,8,5,2004,2005,0,1694,1,0,2,0,3,1,307000
10382,2Story,7,6,1973,1973,0,2090,1,0,2,1,3,1,200000
6120,1.5Fin,7,5,1931,1950,0,1774,0,0,2,0,2,2,129900
7420,1.5Unf,5,6,1939,1950,0,1077,1,0,1,0,2,2,118000
11200,1Story,5,5,1965,1965,0,1040,1,0,1,0,3,1,129500
11924,2Story,9,5,2005,2006,0,2324,1,0,3,0,4,1,345000
12968,1Story,5,6,1962,1962,0,912,1,0,1,0,2,1,144000
10652,1Story,7,5,2006,2007,0,1494,0,0,2,0,3,1,279500
10920,1Story,6,5,1960,1960,0,1253,1,0,1,1,2,1,157000
6120,1.5Unf,7,8,1929,2001,0,854,0,0,1,0,2,1,132000
11241,1Story,6,7,1970,1970,0,1004,1,0,1,0,2,1,149000
10791,1Story,4,5,1967,1967,0,1296,0,0,2,0,2,2,90000
13695,1Story,5,5,2004,2004,0,1114,1,0,1,1,3,1,159000
7560,1Story,5,6,1958,1965,0,1339,0,0,1,0,3,1,139000
14215,2Story,8,5,2005,2006,0,2376,0,0,3,1,4,1,325300
7449,1.5Unf,7,7,1930,1950,0,1108,0,0,1,0,3,1,139400
9742,1Story,8,5,2002,2002,0,1795,0,0,2,0,3,1,230000
4224,1Story,5,7,1976,1976,0,1060,1,0,1,0,3,1,129900
8246,1Story,5,8,1968,2001,0,1060,1,0,1,0,3,1,154000
14230,1Story,8,5,2007,2007,0,1600,0,0,2,0,3,1,256300
7200,1Story,5,7,1951,2000,0,900,0,1,1,0,3,1,134800
11478,1Story,8,5,2007,2008,0,1704,1,0,2,0,3,1,306000
16321,1Story,5,6,1957,1997,0,1600,1,0,1,0,2,1,207500
6324,1Story,4,6,1927,1950,0,520,0,0,1,0,1,1,68500
8500,2Story,4,4,1920,1950,0,1317,0,0,1,0,3,1,40000
8544,1Story,5,6,1966,2006,0,1228,0,0,1,1,3,1,149350
11049,1Story,8,5,2007,2007,0,1234,0,0,2,0,3,1,179900
10552,1Story,5,5,1959,1959,0,1700,0,1,1,1,4,1,165500
7313,1Story,9,5,2005,2005,0,1561,1,0,2,0,2,1,277500
13418,2Story,8,5,2004,2005,0,2452,0,0,3,1,4,1,309000
10859,1Story,5,5,1994,1995,0,1097,0,0,1,1,3,1,145000
8532,1Story,5,6,1954,1990,0,1297,0,1,1,0,3,1,153000
7922,1Story,5,7,1953,2007,0,1057,1,0,1,0,3,1,109000
6040,1Story,4,5,1955,1955,0,1152,0,0,2,0,2,2,82000
8658,1Story,6,5,1965,1965,0,1324,0,0,2,0,3,1,160000
16905,1Story,5,6,1959,1959,0,1328,0,1,1,1,2,1,170000
9180,SFoyer,5,7,1983,1983,0,884,1,0,1,0,2,1,144000
9200,1Story,5,6,1975,1980,0,938,1,0,1,0,3,1,130250
7945,1Story,5,6,1959,1959,0,1150,1,0,1,0,3,1,141000
7658,1Story,9,5,2005,2005,0,1752,1,0,2,0,2,1,319900
12822,1.5Fin,7,5,2003,2003,0,2149,1,0,1,1,1,1,239686
11096,1Story,8,5,2006,2006,0,1656,0,0,2,0,3,1,249700
4456,2Story,4,5,1920,2008,0,1452,0,0,2,0,2,3,113000
7742,1Story,5,7,1966,1966,0,955,1,0,1,0,3,1,127000
13869,2Story,6,6,1997,1997,0,1470,0,1,2,0,3,1,177000
6240,1.5Fin,6,6,1934,1950,360,1176,0,0,1,0,3,1,114500
8472,1Story,5,5,1963,1963,0,816,1,0,1,0,2,1,110000
50271,1Story,9,5,1981,1987,0,1842,2,0,0,1,0,1,385000
7134,SLvl,5,5,1955,1955,0,1360,0,0,1,0,3,1,130000
10175,1Story,6,5,1964,1964,0,1425,0,0,2,0,3,1,180500
2645,2Story,8,5,1999,2000,0,1739,1,0,2,1,3,1,172500
11645,2Story,7,5,2004,2004,0,1720,0,0,2,1,3,1,196500
13682,2Story,10,5,2006,2006,0,2945,0,0,3,1,3,1,438780
7200,1Story,5,7,1972,1972,0,780,0,0,1,0,2,1,124900
13072,1Story,6,5,2004,2004,0,1158,1,0,1,1,3,1,158000
7200,2.5Unf,5,7,1920,1996,0,1111,0,0,1,0,3,1,101000
6442,1Story,8,5,2006,2006,0,1370,0,0,2,0,2,1,202500
10300,2Story,7,6,1921,1950,0,1710,0,0,2,0,3,1,140000
9375,2Story,7,5,1997,1998,0,2034,1,0,2,1,3,1,219500
9591,2Story,8,5,2004,2005,0,2473,0,0,2,1,4,1,317000
19900,1Story,7,5,1970,1989,0,2207,1,0,2,0,3,1,180000
10665,1Story,7,5,2003,2003,0,1479,1,0,2,0,3,1,226000
4608,1Story,4,6,1945,1950,0,747,0,0,1,0,2,1,80000
15593,1.5Fin,7,4,1953,1953,0,2287,0,0,2,0,3,1,225000
13651,1Story,7,6,1973,1973,0,2223,1,0,2,0,3,1,244000
7599,1Story,4,6,1982,2006,0,845,1,0,1,0,2,1,129500
10141,2Story,7,5,1998,1998,0,1718,0,0,2,1,3,1,185000
10200,1Story,5,7,1954,2003,0,1086,1,0,1,0,3,1,144900
5790,2Story,3,6,1915,1950,0,1605,0,0,2,0,3,2,107400
1596,SLvl,4,5,1973,1973,0,988,1,0,1,0,2,1,91000
8475,1Story,4,7,1956,1956,0,952,0,0,1,0,2,1,135750
8635,1.5Fin,5,5,1948,2001,0,1285,1,0,1,0,2,1,127000
10778,1Story,4,5,1968,1968,0,1768,0,0,2,0,4,2,136500
10440,2Story,5,6,1910,1981,0,1230,0,0,1,1,2,1,110000
13000,2Story,6,6,1968,1968,0,2142,0,0,2,1,4,1,193500
4500,1Story,6,5,1998,1998,0,1337,1,0,2,0,2,1,153500
10206,1Story,8,5,2007,2007,0,1563,0,0,2,0,3,1,245000
8892,1Story,5,5,1960,1960,0,1065,0,0,1,1,3,1,126500
8530,SLvl,7,5,1995,1996,0,1474,0,0,2,1,3,1,168500
16059,2Story,8,5,1991,1992,0,2417,0,0,2,1,4,1,260000
11911,2Story,6,5,2005,2005,0,1560,0,0,2,1,3,1,174000
3951,2Story,6,5,2009,2009,0,1224,0,0,2,1,2,1,164500
8470,1.5Fin,3,2,1915,1982,513,1526,0,0,1,0,2,1,85000
8070,1Story,4,5,1994,1995,0,990,1,0,1,0,3,1,123600
7200,1Story,4,5,1950,1950,0,1040,0,0,1,0,2,1,109900
8500,1Story,5,3,1961,1961,0,1235,0,0,1,0,2,1,98600
13360,1Story,5,7,1921,2006,0,964,1,0,1,0,2,1,163500
7200,2.5Unf,6,6,1910,1998,0,2291,0,1,2,0,4,2,133900
9337,2Story,6,5,1997,1997,0,1786,1,0,2,1,3,1,204750
9765,2Story,6,8,1993,1993,0,1470,0,0,2,1,3,1,185000
10264,1Story,7,5,1999,1999,0,1588,0,0,2,0,3,1,214000
10921,1Story,4,5,1965,1965,0,960,1,0,1,0,3,1,94750
10625,1Story,5,5,1920,1950,0,835,0,0,1,0,2,1,83000
9320,1Story,4,5,1959,1959,0,1225,1,0,1,1,3,1,128950
10603,1Story,6,7,1977,2001,0,1610,1,0,2,0,3,1,205000
9206,2Story,6,5,1985,1985,0,1732,0,0,2,1,3,1,178000
7018,1Story,5,5,1979,1979,0,1535,0,0,2,0,4,2,118964
10402,1Story,7,5,2009,2009,0,1226,0,0,2,0,3,1,198900
7758,1.5Fin,7,4,1931,1950,0,1818,0,0,1,1,4,1,169500
9375,2Story,8,5,2003,2004,0,1992,0,0,2,1,3,1,250000
10800,1Story,4,7,1885,1995,0,1047,0,0,1,0,2,1,100000
6000,1Story,5,5,1948,1950,0,789,0,0,1,0,2,1,115000
8500,1.5Fin,5,7,1919,2005,0,1517,0,0,2,0,3,1,115000
11751,1Story,6,6,1977,1977,0,1844,0,0,2,0,3,1,190000
9525,1.5Fin,6,4,1954,1972,0,1855,0,0,2,0,4,1,136900
7750,SLvl,7,5,2000,2000,0,1430,0,0,2,1,3,1,180000
9965,2Story,7,5,2007,2007,0,2696,1,0,2,1,4,1,383970
21000,1Story,6,5,1953,1953,0,2259,1,0,2,0,3,1,217000
7259,2Story,6,8,1945,2002,0,2320,1,0,2,1,3,1,259500
3230,2Story,6,5,1999,1999,0,1458,0,0,2,1,2,1,176000
11616,1Story,5,5,1962,1962,0,1092,0,1,1,0,3,1,139000
8536,1Story,5,5,2006,2007,0,1125,0,0,1,1,2,1,155000
12376,2Story,7,5,1990,1990,0,3222,1,0,3,0,5,1,320000
8461,2Story,6,5,2005,2006,0,1456,0,0,2,1,3,1,163990
21453,SLvl,6,5,1969,1969,0,988,1,0,1,0,1,1,180000
6060,1.5Fin,4,5,1939,1950,0,1123,0,0,1,0,3,1,100000
9464,1Story,6,7,1958,1958,0,1080,0,0,1,0,3,1,136000
7892,1Story,6,5,1993,1993,0,1199,0,0,2,0,2,1,153900
17043,1Story,6,5,1979,1998,0,1586,0,0,2,0,3,1,181000
6780,1.5Fin,6,8,1935,1982,234,754,1,0,1,0,2,1,84500
4928,1Story,6,5,1976,1976,0,958,0,0,2,0,2,1,128000
4388,1.5Unf,5,7,1930,1950,0,840,0,0,1,0,3,1,87000
7590,2Story,6,5,1966,1966,0,1348,0,0,1,1,3,1,155000
8973,1Story,5,7,1958,1991,0,1053,0,1,1,1,3,1,150000
14200,2Story,7,6,1966,1966,0,2157,0,0,2,1,4,1,226000
12224,2Story,6,5,2000,2000,0,2054,1,0,2,1,3,1,244000
7388,1Story,5,6,1959,2002,0,1327,1,0,1,0,3,1,150750
6853,1Story,8,5,2001,2002,0,1296,1,0,2,0,2,1,220000
10335,1Story,5,6,1968,1993,0,1721,0,0,2,1,3,1,180000
10400,1Story,7,6,1970,1970,0,1682,0,0,2,0,3,1,174000
10355,1Story,5,5,1967,1967,0,1214,0,0,2,0,3,1,143000
11070,1Story,7,5,1988,1989,0,1959,0,0,3,0,5,2,171000
9066,2Story,8,5,1999,2000,0,1852,0,0,2,1,3,1,230000
15426,2Story,6,5,1997,1997,0,1764,1,0,2,1,3,1,231500
10500,1Story,4,5,1971,1971,0,864,0,0,1,0,3,1,115000
11645,1Story,7,5,2005,2005,0,1734,1,0,2,0,3,1,260000
8520,1.5Fin,5,4,1952,1952,0,1385,0,0,2,0,4,1,166000
10335,1Story,7,5,1999,1999,0,1501,1,0,2,0,3,1,204000
9100,1Story,5,5,1963,1963,0,1728,1,0,2,0,6,2,125000
2522,2Story,6,5,2004,2006,0,1709,0,0,2,0,3,1,130000
6120,1Story,5,7,1931,1993,0,875,1,0,1,0,2,1,105000
9505,2Story,7,5,2001,2001,0,2035,0,0,2,1,3,1,222500
7500,1Story,7,5,2004,2005,0,1080,1,0,1,0,3,1,141000
6240,1.5Fin,5,4,1936,1950,0,1344,0,0,1,0,3,1,115000
10356,1Story,5,6,1975,1975,0,969,0,0,1,1,3,1,122000
13891,1Story,8,5,2007,2008,0,1710,1,0,2,0,2,1,372402
14803,2Story,6,5,1971,1971,0,1993,0,0,2,1,4,1,190000
13500,1Story,6,7,1960,1975,0,1252,1,0,1,0,1,1,235000
11340,1Story,6,5,1923,1950,0,1200,0,0,1,0,4,1,125000
9600,1.5Fin,6,5,1924,1950,0,1096,0,0,1,0,2,1,79000
7200,1Story,5,7,1950,1950,0,1040,0,0,1,0,2,1,109500
12003,2Story,8,5,2009,2010,0,1968,0,0,2,1,4,1,269500
12552,2Story,7,5,2004,2005,0,1947,0,0,2,1,3,1,254900
19378,2Story,7,5,2005,2006,0,2462,1,0,2,1,4,1,320000
11120,1Story,6,6,1984,1984,0,1232,0,0,2,0,3,1,162500
13688,2Story,9,5,2003,2004,0,2668,1,0,2,1,3,1,412500
12182,1Story,7,5,2005,2005,0,1541,0,0,2,0,3,1,220000
5500,1.5Unf,4,6,1956,1956,0,882,0,0,1,0,1,1,103200
5400,1Story,6,7,1926,2004,0,1616,0,0,2,0,3,1,152000
10106,1.5Fin,5,7,1940,1999,0,1355,1,0,2,0,4,2,127500
10708,1Story,5,5,1955,1993,0,1867,1,0,1,0,2,1,190000
10562,2Story,8,5,2007,2007,0,2161,1,0,1,1,3,1,325624
8244,2Story,7,5,2004,2004,0,1720,0,0,2,1,3,1,183500
16669,1Story,8,6,1981,1981,0,1707,0,0,2,1,2,1,228000
12358,1.5Fin,5,6,1941,1950,528,1382,0,0,1,1,2,1,128500
31770,1Story,6,5,1960,1960,0,1656,1,0,1,0,3,1,215000
5306,2Story,7,7,1987,1987,0,1767,1,0,2,0,2,1,239000
10197,1Story,6,5,1961,1961,0,1362,1,0,1,1,3,1,163000
12416,1Story,6,5,1986,1986,0,1651,1,0,2,0,3,1,184000
12615,1Story,6,7,1950,2001,0,2158,1,0,2,0,4,1,243000
10029,2Story,6,5,1988,1989,0,2060,0,1,2,1,4,1,211000
13650,1.5Fin,5,5,1958,1958,0,1920,1,0,2,0,4,1,172500
17423,1Story,9,5,2008,2009,0,2234,1,0,2,0,1,1,501837
8520,1Story,5,6,1923,2006,0,968,0,0,1,0,2,1,100000
2117,2Story,6,5,2000,2000,0,1525,0,0,2,1,3,1,177000
7588,2Story,7,6,1920,1950,0,1802,0,0,1,1,4,1,200100
9060,1Story,5,6,1957,2006,0,1340,0,0,1,0,3,1,120000
11426,1.5Fin,7,5,2003,2003,0,2082,0,0,2,1,3,1,200000
7438,1.5Fin,5,8,1908,1991,0,1252,0,0,1,0,3,1,127000
22950,2.5Fin,10,9,1892,1993,572,3608,0,0,2,1,4,1,475000
9947,SLvl,7,5,1990,1991,0,1217,1,0,2,0,3,1,173000
10410,1.5Fin,5,7,1916,1987,144,1656,0,0,2,1,3,1,135000
7018,SFoyer,5,5,1979,1979,0,1224,2,0,0,2,2,2,153337
4923,1Story,8,5,2001,2002,0,1593,1,0,1,1,0,1,286000
10570,2Story,8,8,1932,1994,0,2727,0,0,2,1,3,1,315000
7472,2Story,7,9,1972,2004,0,1479,1,0,1,1,4,1,184000
9017,1Story,7,5,1999,1999,0,1431,1,0,2,0,3,1,192000
2522,2Story,7,5,2004,2004,0,1709,0,0,2,0,3,1,130000
7180,1Story,5,7,1972,1972,0,864,0,0,1,0,3,1,127000
2280,2Story,6,6,1976,1976,0,1456,0,0,2,1,3,1,148500
9416,1Story,7,5,2007,2007,0,1726,1,0,2,0,3,1,311872
25419,2Story,8,4,1918,1990,392,3112,1,1,2,0,4,1,235000
5520,2.5Fin,6,6,1912,1950,371,2229,0,0,1,0,5,1,104000
9591,1Story,8,5,2004,2005,0,1713,1,0,2,0,3,1,274900
8546,1Story,4,5,2003,2004,0,1121,0,0,2,0,2,1,140000
10125,1Story,6,6,1977,1977,0,1279,0,1,2,0,3,1,171500
7000,1.5Fin,6,6,1924,1950,0,1310,0,0,2,0,2,1,112000
4438,1Story,6,5,2004,2004,0,848,1,0,1,0,1,1,149000
3500,1.5Fin,5,7,1947,1950,0,1284,0,0,1,1,2,1,110000
11851,1Story,7,5,1990,1990,0,1442,0,0,2,0,3,1,180500
13673,1Story,5,5,1962,1962,0,1696,0,0,1,1,3,1,143900
12493,1Story,4,5,1960,1960,0,1100,1,0,1,0,3,1,141000
14364,2Story,7,5,1988,1989,0,2062,1,0,2,1,3,1,277000
8250,1Story,6,7,1964,1964,0,1092,1,0,1,0,3,1,145000
5604,1Story,5,6,1925,1950,0,864,1,0,1,0,2,1,98000
10420,1Story,6,5,2009,2009,0,1212,0,0,2,0,3,1,186000
8640,2Story,7,5,2009,2009,0,1852,1,0,2,1,3,1,252678
13568,1Story,5,5,1995,1995,0,990,0,1,1,0,3,1,156000
10900,2Story,6,7,1977,1977,0,1392,0,0,1,1,3,1,161750
10011,1Story,5,6,1957,1996,0,1236,0,1,1,0,2,1,134450
8450,1Story,7,5,2004,2004,0,1436,1,0,2,0,3,1,210000
9906,2Story,4,4,1925,1950,0,1328,0,0,1,0,3,1,107000
15660,1.5Fin,7,9,1939,2006,0,1954,0,1,1,1,3,1,311500
3010,1Story,7,5,2005,2006,0,1248,0,0,2,0,2,1,167240
8990,1Story,7,5,2006,2006,0,1498,0,0,2,0,2,1,204900
8068,2Story,6,5,2002,2002,0,2267,0,0,2,1,4,1,200000
11475,2Story,6,6,1975,1975,0,1552,1,0,2,1,3,1,179900
10500,1Story,4,6,1971,1971,0,864,0,0,1,0,2,1,97000
13472,1Story,10,5,2003,2003,0,2392,0,0,2,0,3,1,386250
1680,2Story,5,5,1971,1971,0,1302,0,0,2,1,3,1,112000
9950,2Story,7,5,1995,1995,0,2520,0,0,2,1,4,1,290000
